L1,L2,L3,L4
0.72002,0.43161,0.31431,0.56564
0.73576,0.44274,0.30709,0.58977
0.72886,0.42065,0.28509,0.61440
0.69768,0.41708,0.25931,0.58607
0.68927,0.42469,0.23494,0.56527
0.71416,0.44805,0.22392,0.55469
0.82097,0.48651,0.18227,0.57334
0.78754,0.47707,0.15862,0.58346
0.71892,0.42971,0.15021,0.50294
0.63112,0.34615,0.23064,0.42899
0.55300,0.31192,0.23657,0.37042
0.50554,0.28722,0.22830,0.34727
0.47729,0.28726,0.22756,0.34532
0.46974,0.28128,0.23337,0.37462
0.47378,0.28729,0.27631,0.40505
0.48369,0.28849,0.28099,0.43726
0.46222,0.31078,0.26446,0.49122
0.52878,0.38515,0.30474,0.53352
0.60605,0.41166,0.32830,0.53960
0.65239,0.44112,0.34383,0.53802
0.70571,0.46239,0.35590,0.54352
0.73016,0.46042,0.32030,0.53136
0.75606,0.47048,0.31469,0.53689
0.78051,0.46703,0.31784,0.52958
0.80901,0.47682,0.31945,0.54411
0.80703,0.47161,0.30402,0.57692
0.81501,0.45956,0.29641,0.60386
0.75639,0.45246,0.26909,0.57759
0.70813,0.45982,0.24622,0.55092
0.72625,0.47161,0.23521,0.52765
0.83133,0.48184,0.21962,0.55683
0.79937,0.46762,0.22076,0.58126
0.74011,0.41462,0.20807,0.50585
0.64943,0.34693,0.25100,0.41893
0.56566,0.31916,0.23744,0.36547
0.51739,0.29846,0.21775,0.34467
0.48924,0.29174,0.20554,0.34329
0.47004,0.28883,0.22652,0.37341
0.47625,0.28683,0.24807,0.40165
0.49559,0.30040,0.25315,0.44209
0.47162,0.30403,0.22441,0.49133
0.54109,0.35027,0.25815,0.51997
0.61067,0.38618,0.30144,0.54389
0.66052,0.41137,0.30674,0.55242
0.69784,0.43314,0.30947,0.55371
0.73183,0.43524,0.28222,0.54028
0.75562,0.44966,0.30480,0.52496
0.76177,0.45652,0.31365,0.51604
0.77610,0.45115,0.34156,0.52970
0.77346,0.45109,0.32840,0.56238
0.75752,0.43653,0.28140,0.58563
0.72175,0.42963,0.26917,0.56545
0.70232,0.42342,0.25012,0.53018
0.72399,0.42890,0.22084,0.50766
0.82597,0.47438,0.18454,0.53515
0.79774,0.50879,0.16827,0.57822
0.73548,0.45947,0.14523,0.50228
0.64691,0.36318,0.24269,0.41850
0.56583,0.31492,0.23164,0.36105
0.51700,0.28595,0.23890,0.33751
0.48659,0.29885,0.23834,0.55437
0.47252,0.35847,0.23853,0.54012
0.47190,0.35161,0.25650,0.54859
0.48987,0.37642,0.26448,0.54916
0.46826,0.41172,0.27798,0.56953
0.54081,0.48750,0.34523,0.66202
0.61618,0.50129,0.33145,0.72268
0.66129,0.53200,0.34088,0.77752
0.71047,0.54470,0.31867,0.77774
0.73635,0.52050,0.30067,0.77134
0.75931,0.53564,0.28665,0.75410
0.75819,0.54621,0.34263,0.74516
0.77886,0.55187,0.31794,0.72561
0.78056,0.54447,0.30298,0.72756
0.76895,0.52802,0.31195,0.72855
