"item","Demanda","Valor","addValue"
"2017-01-07 01","36325.269","1.290897",""
"2017-01-07 02","33302.267","1.178994",""
"2017-01-07 03","31223.127","1.073923",""
"2017-01-07 04","28924.844","0.952125",""
"2017-01-07 05","28384.225","0.825642",""
"2017-01-07 06","28176.285","0.819594",""
"2017-01-07 07","28468.041","0.816606",""
"2017-01-07 08","28657.853","0.825901",""
"2017-01-07 09","32193.61","1.165697",""
"2017-01-07 10","35704.853","1.297632",""
"2017-01-07 11","39420.418","1.432668",""
"2017-01-07 12","41568.051","1.51072",""
"2017-01-07 13","42209.987","1.53405",""
"2017-01-07 14","41862.899","1.521436",""
"2017-01-07 15","41970.65","1.525352",""
"2017-01-07 16","41699.126","1.515484",""
"2017-01-07 17","39963.544","1.452407",""
"2017-01-07 18","39215.039","1.425204",""
"2017-01-07 19","38316.174","1.392537",""
"2017-01-07 20","37333.77","1.356832",""
"2017-01-07 21","37694.478","1.369942",""
"2017-01-07 22","38590.535","1.402508",""
"2017-01-07 23","36458.117","1.325008",""
"2017-01-07 24","34286.625","1.239179",""
"2017-01-08 01","31921.432","1.091509",""
"2017-01-08 02","29296.245","1.001744",""
"2017-01-08 03","27254.641","0.904471",""
"2017-01-08 04","25444.036","0.818745",""
"2017-01-08 05","24523.74","0.789131",""
"2017-01-08 06","24085.579","0.686041",""
"2017-01-08 07","23776.121","0.667643",""
"2017-01-08 08","22475.101","0.612992",""
"2017-01-08 09","25028.688","0.702816",""
"2017-01-08 10","28657.272","0.962569",""
"2017-01-08 11","32032.959","1.106082",""
"2017-01-08 12","34550.796","1.193021",""
"2017-01-08 13","36240.483","1.251366",""
"2017-01-08 14","37328.055","1.288919",""
"2017-01-08 15","37961.3","1.310784",""
"2017-01-08 16","37811.839","1.305623",""
"2017-01-08 17","37072.659","1.2801",""
"2017-01-08 18","36113.859","1.246993",""
"2017-01-08 19","35450.278","1.247895",""
"2017-01-08 20","35320.711","1.243334",""
"2017-01-08 21","35387.299","1.245678",""
"2017-01-08 22","37019.303","1.303126",""
"2017-01-08 23","36718.667","1.292544",""
"2017-01-08 24","34881.522","1.227874",""
"2017-01-09 01","32122.998","1.107032",""
"2017-01-09 02","29060.766","1.001501",""
"2017-01-09 03","26833.743","0.924753",""
"2017-01-09 04","25816.731","0.773506",""
