"item","Demanda","Valor","addValue"
"2017-01-07 01","66320.893","2.356856",""
"2017-01-07 02","58332.093","2.069038",""
"2017-01-07 03","52396.977","1.802201",""
"2017-01-07 04","48206.174","1.586813",""
"2017-01-07 05","45881.257","1.334597",""
"2017-01-07 06","44822.938","1.303813",""
"2017-01-07 07","43646.437","1.251998",""
"2017-01-07 08","43084.247","1.24166",""
"2017-01-07 09","49416.9","1.792654",""
"2017-01-07 10","56690.934","2.064144",""
"2017-01-07 11","64301.049","2.341232",""
"2017-01-07 12","69056.192","2.514369",""
"2017-01-07 13","72655.909","2.645437",""
"2017-01-07 14","75928.619","2.764598",""
"2017-01-07 15","76748.693","2.794457",""
"2017-01-07 16","75038.161","2.732175",""
"2017-01-07 17","73399.525","2.672512",""
"2017-01-07 18","71872.843","2.616925",""
"2017-01-07 19","70735.127","2.589755",""
"2017-01-07 20","70119.777","2.567226",""
"2017-01-07 21","69926.547","2.560151",""
"2017-01-07 22","78906.409","2.888922",""
"2017-01-07 23","77011.762","2.819555",""
"2017-01-07 24","71841.488","2.615783",""
"2017-01-08 01","65286.629","2.232385",""
"2017-01-08 02","58061.774","1.985341",""
"2017-01-08 03","52123.891","1.72978",""
"2017-01-08 04","47759.882","1.53683",""
"2017-01-08 05","45548.057","1.465657",""
"2017-01-08 06","44327.357","1.262597",""
"2017-01-08 07","42874.97","1.206827",""
"2017-01-08 08","40218.617","1.099635",""
"2017-01-08 09","44568.326","1.25449",""
"2017-01-08 10","51000.811","1.719919",""
"2017-01-08 11","58877.481","2.036965",""
"2017-01-08 12","63979.031","2.213461",""
"2017-01-08 13","67846.746","2.347272",""
"2017-01-08 14","72056.89","2.492929",""
"2017-01-08 15","73204.454","2.53263",""
"2017-01-08 16","72133.93","2.495594",""
"2017-01-08 17","70734.467","2.447177",""
"2017-01-08 18","69571.858","2.406954",""
"2017-01-08 19","68898.274","2.443821",""
"2017-01-08 20","68600.027","2.433242",""
"2017-01-08 21","69722.742","2.473065",""
"2017-01-08 22","79453.221","2.818205",""
"2017-01-08 23","78526.905","2.785347",""
"2017-01-08 24","71831.502","2.547862",""
"2017-01-09 01","62414.518","2.155142",""
"2017-01-09 02","53721.214","1.854966",""
"2017-01-09 03","47735.913","1.648297",""
"2017-01-09 04","44913.12","1.348677",""
"2017-01-09 05","43616.298","1.259924",""
"2017-01-09 06","43841.011","1.348879",""
"2017-01-09 07","47703.716","1.647185",""
"2017-01-09 08","52587.468","1.815819",""
"2017-01-09 09","58147.789","2.160158",""
"2017-01-09 10","62331.098","2.315565",""
"2017-01-09 11","67440.534","2.505378",""
"2017-01-09 12","71703.53","2.663746",""
"2017-01-09 13","74659.582","2.773561",""
"2017-01-09 14","77094.604","2.86402",""
"2017-01-09 15","77983.789","2.897053",""
"2017-01-09 16","78158.348","2.903538",""
"2017-01-09 17","77804.066","2.890377",""
"2017-01-09 18","76955.457","2.858851",""
"2017-01-09 19","71498.336","2.660925",""
"2017-01-09 20","72964.942","2.715508",""
"2017-01-09 21","77185.607","2.872586",""
"2017-01-09 22","85874.312","3.195951",""
"2017-01-09 23","82438.901","3.068096",""
"2017-01-09 24","73948.063","2.752096",""
"2017-01-10 01","63512.366","2.308249",""
"2017-01-10 02","54365.549","1.899128",""
"2017-01-10 03","48998.832","1.586572",""
"2017-01-10 04","46287.584","1.318431",""
"2017-01-10 05","45061.663","1.35011",""
"2017-01-10 06","45494.043","1.561718",""
"2017-01-10 07","48655.713","1.686594",""
"2017-01-10 08","52684.306","1.914722",""
"2017-01-10 09","58556.195","2.210733",""
"2017-01-10 10","64098.308","2.41997",""
"2017-01-10 11","69912.561","2.639482",""
