"item","Demanda","Valor","addValue"
"2017-01-07 01","56188.796","1.974142",""
"2017-01-07 02","52558.864","1.839546",""
"2017-01-07 03","49879.009","1.695491",""
"2017-01-07 04","48149.251","1.565532",""
"2017-01-07 05","46993.811","1.351175",""
"2017-01-07 06","46549.516","1.3384",""
"2017-01-07 07","46621.447","1.321677",""
"2017-01-07 08","48424.816","1.379307",""
"2017-01-07 09","56432.351","2.028191",""
"2017-01-07 10","65032.446","2.346019",""
"2017-01-07 11","72009.084","2.597698",""
"2017-01-07 12","75971.268","2.740632",""
"2017-01-07 13","77551.264","2.79763",""
"2017-01-07 14","77170.755","2.783903",""
"2017-01-07 15","74170.332","2.675665",""
"2017-01-07 16","71259.929","2.570672",""
"2017-01-07 17","69125.096","2.49366",""
"2017-01-07 18","67774.63","2.444942",""
"2017-01-07 19","65984.816","2.367076",""
"2017-01-07 20","64430.254","2.31131",""
"2017-01-07 21","62264.969","2.233634",""
"2017-01-07 22","62834.789","2.254075",""
"2017-01-07 23","60529.043","2.171362",""
"2017-01-07 24","57562.928","2.053358",""
"2017-01-08 01","54221.501","1.832174",""
"2017-01-08 02","51265.613","1.732292",""
"2017-01-08 03","49256.938","1.614783",""
"2017-01-08 04","47522.56","1.513231",""
"2017-01-08 05","46637.463","1.485048",""
"2017-01-08 06","45966.522","1.293846",""
"2017-01-08 07","45083.87","1.253859",""
"2017-01-08 08","44404.617","1.199172",""
"2017-01-08 09","47185.862","1.318658",""
"2017-01-08 10","51455.123","1.717956",""
"2017-01-08 11","55110.919","1.888143",""
"2017-01-08 12","57873.327","1.982785",""
"2017-01-08 13","59667.83","2.044267",""
"2017-01-08 14","61142.754","2.094798",""
"2017-01-08 15","62205.628","2.131214",""
"2017-01-08 16","61860.791","2.119399",""
"2017-01-08 17","61232.227","2.097864",""
"2017-01-08 18","60756.799","2.081575",""
"2017-01-08 19","59886.842","2.083955",""
"2017-01-08 20","58666.858","2.041501",""
"2017-01-08 21","57520.486","2.00161",""
"2017-01-08 22","59679.528","2.076741",""
"2017-01-08 23","58782.018","2.045508",""
"2017-01-08 24","56100.514","1.952197",""
"2017-01-09 01","52629.733","1.796064",""
"2017-01-09 02","49154.245","1.677459",""
"2017-01-09 03","47078.736","1.606628",""
"2017-01-09 04","46295.388","1.371524",""
"2017-01-09 05","45968.51","1.312431",""
"2017-01-09 06","46490.808","1.411668",""
"2017-01-09 07","50750.079","1.731919",""
"2017-01-09 08","63665.205","2.172666",""
"2017-01-09 09","81462.835","2.982518",""
"2017-01-09 10","92675.107","3.393022",""
"2017-01-09 11","98437.769","3.604004",""
"2017-01-09 12","101008.892","3.698139",""
"2017-01-09 13","103658.182","3.795134",""
"2017-01-09 14","107072.333","3.920133",""
"2017-01-09 15","109885.463","4.023128",""
"2017-01-09 16","113186.629","4.14399",""
"2017-01-09 17","114259.054","4.183253",""
"2017-01-09 18","111845.062","4.094873",""
"2017-01-09 19","102147.333","3.719233",""
"2017-01-09 20","89071.804","3.243147",""
"2017-01-09 21","78177.583","2.846483",""
"2017-01-09 22","73116.262","2.662199",""
"2017-01-09 23","66290.067","2.413653",""
"2017-01-09 24","60334.547","2.19681",""
"2017-01-10 01","55018.345","1.977372",""
"2017-01-10 02","51319.295","1.768581",""
"2017-01-10 03","49124.029","1.570826",""
"2017-01-10 04","47924.058","1.348947",""
"2017-01-10 05","47595.541","1.406844",""
"2017-01-10 06","47983.172","1.6246",""
"2017-01-10 07","51823.207","1.775504",""
"2017-01-10 08","65119.782","2.34042",""
"2017-01-10 09","83318.886","3.100846",""
"2017-01-10 10","96443.319","3.589293",""
"2017-01-10 11","104972.734","3.906729",""
"2017-01-10 12","110048.136","4.095618",""
"2017-01-10 13","113834.024","4.236516",""
"2017-01-10 14","116741.062","4.344707",""
"2017-01-10 15","118374.52","4.405498",""
"2017-01-10 16","120294.479","4.476953",""
"2017-01-10 17","120284.856","4.476594",""
"2017-01-10 18","116201.455","4.324625",""
"2017-01-10 19","104474.162","3.846064",""
"2017-01-10 20","90592.35","3.335025",""
"2017-01-10 21","78640.045","2.895019",""
"2017-01-10 22","73767.562","2.715645",""
"2017-01-10 23","66781.735","2.458472",""
"2017-01-10 24","60789.269","2.237868",""
"2017-01-11 01","55584.857","1.997733",""
"2017-01-11 02","51824.28","1.782504",""
"2017-01-11 03","49170.947","1.654907",""
"2017-01-11 04","47766.288","1.607631",""
"2017-01-11 05","47381.579","1.556487",""
"2017-01-11 06","47861.128","1.5851",""
"2017-01-11 07","51752.846","1.748756",""
"2017-01-11 08","65009.294","2.314613",""
"2017-01-11 09","84528.008","3.145845",""
"2017-01-11 10","98421.478","3.662914",""
"2017-01-11 11","106429.136","3.960932",""
"2017-01-11 12","111162.714","4.137099",""
"2017-01-11 13","115579.038","4.30146",""
"2017-01-11 14","118263.339","4.40136",""
"2017-01-11 15","119910.802","4.462674",""
"2017-01-11 16","122232.366","4.549074",""
"2017-01-11 17","122341.608","4.55314",""
"2017-01-11 18","119762.422","4.457151",""
"2017-01-11 19","109088.304","4.015927",""
"2017-01-11 20","95366.578","5.029131",""
"2017-01-11 21","82318.21","5.087575",""
"2017-01-11 22","76027.039","2.798824",""
"2017-01-11 23","69467.109","2.557331",""
"2017-01-11 24","63419.514","2.334697",""
"2017-01-12 01","57810.331","2.081601",""
"2017-01-12 02","53939.912","1.942237",""
"2017-01-12 03","51130.109","1.806715",""
"2017-01-12 04","49971.972","1.752364",""
"2017-01-12 05","49119.37","1.722465",""
"2017-01-12 06","49320.145","1.739445",""
"2017-01-12 07","53032.463","1.909562",""
"2017-01-12 08","66619.525","2.573336",""
"2017-01-12 09","86600.336","3.310235",""
"2017-01-12 10","101628.636","3.884681",""
"2017-01-12 11","110873.129","4.238046",""
"2017-01-12 12","116055.193","4.592053",""
"2017-01-12 13","119879.521","6.168802",""
"2017-01-12 14","121842.715","6.269825",""
"2017-01-12 15","122609.655","6.309291",""
"2017-01-12 16","124952.64","6.429857",""
"2017-01-12 17","125187.034","6.441918",""
"2017-01-12 18","121301.16","6.241957",""
"2017-01-12 19","110238.857","5.62087",""
"2017-01-12 20","96236.886","4.906936",""
"2017-01-12 21","83937.616","4.27982",""
"2017-01-12 22","77074.581","3.929887",""
"2017-01-12 23","70319.211","3.585443",""
"2017-01-12 24","64909.507","3.204961",""
"2017-01-13 01","59818.073","2.02905",""
"2017-01-13 02","56066.763","1.901804",""
"2017-01-13 03","53140.37","1.80254",""
"2017-01-13 04","51674.262","1.752809",""
"2017-01-13 05","50837.416","1.724423",""
"2017-01-13 06","51068.048","1.732246",""
"2017-01-13 07","54855.24","1.860709",""
"2017-01-13 08","68330.74","2.317802",""
"2017-01-13 09","89793.042","3.190562",""
"2017-01-13 10","106197.156","3.77344",""
"2017-01-13 11","116668.742","4.14552",""
