"item","Demanda","Valor","addValue"
"2017-01-07 01","41559.776","1.471333",""
"2017-01-07 02","38244.239","1.348815",""
"2017-01-07 03","36842.133","1.26224",""
"2017-01-07 04","35192.421","1.153708",""
"2017-01-07 05","33849.532","0.98007",""
"2017-01-07 06","33385.825","0.966644",""
"2017-01-07 07","33135.253","0.946033",""
"2017-01-07 08","33909.8","0.972703",""
"2017-01-07 09","39021.956","1.412943",""
"2017-01-07 10","45509.748","1.650917",""
"2017-01-07 11","52793.021","1.915126",""
"2017-01-07 12","56477.192","2.048774",""
"2017-01-07 13","57327.405","2.079616",""
"2017-01-07 14","57691.499","2.092823",""
"2017-01-07 15","56114.842","2.035629",""
"2017-01-07 16","54585.591","1.980153",""
"2017-01-07 17","53872.267","1.954277",""
"2017-01-07 18","53161.638","1.928497",""
"2017-01-07 19","51534.305","1.866003",""
"2017-01-07 20","49828.346","1.804231",""
"2017-01-07 21","48611.115","1.760157",""
"2017-01-07 22","47938.784","1.735813",""
"2017-01-07 23","45169.962","1.635556",""
"2017-01-07 24","42698.706","1.53747",""
"2017-01-08 01","39736.404","1.353392",""
"2017-01-08 02","36990.235","1.259859",""
"2017-01-08 03","35123.636","1.160892",""
"2017-01-08 04","33780.394","1.082456",""
"2017-01-08 05","32802.866","1.051132",""
"2017-01-08 06","32530.178","0.922202",""
"2017-01-08 07","31913.385","0.893997",""
"2017-01-08 08","31296.703","0.851492",""
"2017-01-08 09","33951.313","0.953367",""
"2017-01-08 10","37949.78","1.274695",""
"2017-01-08 11","44026.782","1.517265",""
"2017-01-08 12","47710.876","1.644227",""
"2017-01-08 13","49580.534","1.70866",""
"2017-01-08 14","51067.247","1.759895",""
"2017-01-08 15","51075.804","1.76019",""
"2017-01-08 16","50865.378","1.752938",""
"2017-01-08 17","50001.88","1.72318",""
"2017-01-08 18","48309.929","1.664872",""
"2017-01-08 19","48291.201","1.693423",""
"2017-01-08 20","47283.948","1.658102",""
"2017-01-08 21","46630.45","1.635186",""
"2017-01-08 22","47172.893","1.654208",""
"2017-01-08 23","45163.437","1.583743",""
"2017-01-08 24","41857.998","1.467831",""
"2017-01-09 01","38321.987","1.315516",""
"2017-01-09 02","35531.52","1.219724",""
"2017-01-09 03","33799.799","1.160278",""
"2017-01-09 04","32876.476","0.980607",""
"2017-01-09 05","32257.979","0.925321",""
"2017-01-09 06","32554.522","0.995061",""
"2017-01-09 07","37828.302","1.298569",""
"2017-01-09 08","49166.493","1.687786",""
"2017-01-09 09","61606.346","2.276225",""
"2017-01-09 10","68118.3","2.516828",""
"2017-01-09 11","73811.105","2.727165",""
"2017-01-09 12","76578.692","2.829422",""
"2017-01-09 13","79788.314","2.948011",""
"2017-01-09 14","81220.631","3.000931",""
"2017-01-09 15","81467.352","3.010048",""
"2017-01-09 16","83159.586","3.072572",""
"2017-01-09 17","83383.38","3.080841",""
"2017-01-09 18","81766.658","3.021106",""
"2017-01-09 19","75198.489","2.763272",""
"2017-01-09 20","65783.709","2.417313",""
"2017-01-09 21","58484.29","2.149085",""
"2017-01-09 22","55519.235","2.040131",""
"2017-01-09 23","49865.325","1.832369",""
"2017-01-09 24","45366.287","1.667046",""
"2017-01-10 01","40713.598","1.474197",""
"2017-01-10 02","37139.503","1.289893",""
"2017-01-10 03","35781.016","1.153774",""
"2017-01-10 04","34659.649","0.98257",""
"2017-01-10 05","33991.739","1.013873",""
"2017-01-10 06","34283.822","1.169984",""
"2017-01-10 07","38403.656","1.326058",""
"2017-01-10 08","49898.864","1.806785",""
"2017-01-10 09","62611.887","2.355439",""
"2017-01-10 10","70343.815","2.646312",""
"2017-01-10 11","77996.885","2.934218",""
"2017-01-10 12","81749.114","3.075376",""
"2017-01-10 13","84494.438","3.178654",""
"2017-01-10 14","85883.159","3.230897",""
"2017-01-10 15","86493.892","3.253873",""
"2017-01-10 16","87165.486","3.279137",""
"2017-01-10 17","86763.395","3.264011",""
"2017-01-10 18","84529.235","3.179963",""
"2017-01-10 19","77289.027","2.876436",""
"2017-01-10 20","66963.351","2.492148",""
"2017-01-10 21","58710.367","2.185",""
"2017-01-10 22","55729.509","2.074063",""
"2017-01-10 23","50756.434","1.888982",""
"2017-01-10 24","46196.1","1.719262",""
"2017-01-11 01","41480.763","1.504761",""
"2017-01-11 02","38710.794","1.341866",""
"2017-01-11 03","36151.461","1.226434",""
"2017-01-11 04","35200.717","1.19418",""
"2017-01-11 05","34376.075","1.138493",""
"2017-01-11 06","34694.318","1.158355",""
"2017-01-11 07","38750.9","1.319827",""
"2017-01-11 08","50202.626","1.800922",""
"2017-01-11 09","64279.662","2.418181",""
"2017-01-11 10","72464.885","2.726105",""
"2017-01-11 11","79831.835","3.003248",""
"2017-01-11 12","82678.301","3.110331",""
"2017-01-11 13","85441","3.214263",""
"2017-01-11 14","86878.506","3.268341",""
"2017-01-11 15","87086.286","3.276158",""
"2017-01-11 16","87842.784","3.304617",""
"2017-01-11 17","87943.258","3.308397",""
"2017-01-11 18","86061.436","3.237604",""
"2017-01-11 19","80107.27","2.986702",""
"2017-01-11 20","69613.563","3.717818",""
"2017-01-11 21","60863.289","3.810644",""
"2017-01-11 22","57013.175","2.125667",""
"2017-01-11 23","52070.9","1.9414",""
"2017-01-11 24","47667.101","1.777211",""
"2017-01-12 01","42328.32","1.538351",""
"2017-01-12 02","39509.894","1.43592",""
"2017-01-12 03","36799.074","1.312679",""
"2017-01-12 04","35981.471","1.271428",""
"2017-01-12 05","34933.747","1.234406",""
"2017-01-12 06","35297.292","1.256737",""
"2017-01-12 07","38814.615","1.410651",""
"2017-01-12 08","50714.967","1.97602",""
"2017-01-12 09","63558.416","2.455093",""
"2017-01-12 10","71440.449","2.759555",""
"2017-01-12 11","79044.166","3.053266",""
