"item","Demanda","Valor","addValue"
"2017-01-07 01","37349.361","1.307217",""
"2017-01-07 02","35040.473","1.224053",""
"2017-01-07 03","33148.364","1.124554",""
"2017-01-07 04","32114.623","1.042022",""
"2017-01-07 05","31622.274","0.907085",""
"2017-01-07 06","31240.863","0.896145",""
"2017-01-07 07","31446.557","0.88937",""
"2017-01-07 08","32680.223","0.928651",""
"2017-01-07 09","37290.908","1.332729",""
"2017-01-07 10","43186.409","1.546327",""
"2017-01-07 11","49250.22","1.763447",""
"2017-01-07 12","52572.216","1.882394",""
"2017-01-07 13","54070.367","1.936036",""
"2017-01-07 14","54010.554","1.933895",""
"2017-01-07 15","52675.344","1.886087",""
"2017-01-07 16","50749.807","1.817141",""
"2017-01-07 17","48543.495","1.738143",""
"2017-01-07 18","46851.362","1.677554",""
"2017-01-07 19","44913.901","1.605165",""
"2017-01-07 20","43519.37","1.555326",""
"2017-01-07 21","41435.921","1.480866",""
"2017-01-07 22","40721.363","1.455329",""
"2017-01-07 23","39079.097","1.396636",""
"2017-01-07 24","37332.85","1.326704",""
"2017-01-08 01","35366.667","1.192683",""
"2017-01-08 02","33477.039","1.128958",""
"2017-01-08 03","32012.001","1.047295",""
"2017-01-08 04","31041.305","0.986343",""
"2017-01-08 05","30423.41","0.966709",""
"2017-01-08 06","30214.999","0.850479",""
"2017-01-08 07","29823.171","0.827429",""
"2017-01-08 08","29210.439","0.786882",""
"2017-01-08 09","31218.215","0.866135",""
"2017-01-08 10","34883.785","1.157651",""
"2017-01-08 11","37861.629","1.289539",""
"2017-01-08 12","40455.51","1.377884",""
"2017-01-08 13","42010.806","1.430857",""
"2017-01-08 14","42893.837","1.460932",""
"2017-01-08 15","43382.222","1.477566",""
"2017-01-08 16","43011.641","1.464944",""
"2017-01-08 17","42317.473","1.441302",""
"2017-01-08 18","41646.081","1.418435",""
"2017-01-08 19","40650.043","1.409087",""
"2017-01-08 20","39893.092","1.382849",""
"2017-01-08 21","38952.041","1.350227",""
"2017-01-08 22","39593.283","1.372456",""
"2017-01-08 23","38835.904","1.346201",""
"2017-01-08 24","37182.514","1.288889",""
"2017-01-09 01","34622.75","1.179225",""
"2017-01-09 02","32192.03","1.096436",""
"2017-01-09 03","30780.74","1.048369",""
"2017-01-09 04","29965.921","0.885743",""
"2017-01-09 05","29850.37","0.850242",""
"2017-01-09 06","30003.962","0.911054",""
"2017-01-09 07","33001.221","1.123997",""
"2017-01-09 08","39971.171","1.361388",""
"2017-01-09 09","49436.9","1.800021",""
