"item","Demanda","Valor","addValue"
"2017-01-07 01","44891.043","1.583238",""
"2017-01-07 02","39420.599","1.385007",""
"2017-01-07 03","35304.057","1.204801",""
"2017-01-07 04","32520.367","1.061742",""
"2017-01-07 05","31152.482","0.897795",""
"2017-01-07 06","30467.774","0.878061",""
"2017-01-07 07","30006.366","0.854685",""
"2017-01-07 08","29915.14","0.856107",""
"2017-01-07 09","34610.325","1.243903",""
"2017-01-07 10","41958.294","1.510809",""
"2017-01-07 11","48741.117","1.755041",""
"2017-01-07 12","52858.541","1.903299",""
"2017-01-07 13","55600.172","2.002018",""
"2017-01-07 14","57687.254","2.077169",""
"2017-01-07 15","58685.461","2.113111",""
"2017-01-07 16","58320.022","2.099953",""
"2017-01-07 17","57469.083","2.069312",""
"2017-01-07 18","57043.004","2.053971",""
"2017-01-07 19","55934.937","2.021587",""
"2017-01-07 20","55206.682","1.995267",""
"2017-01-07 21","54478.867","1.968962",""
"2017-01-07 22","55889.402","2.019942",""
"2017-01-07 23","52639.535","1.902485",""
"2017-01-07 24","48718.94","1.75097",""
"2017-01-08 01","43719.628","1.483183",""
"2017-01-08 02","38831.412","1.317352",""
"2017-01-08 03","35042.293","1.153495",""
"2017-01-08 04","32117.314","1.024849",""
"2017-01-08 05","31063.809","0.991232",""
"2017-01-08 06","30258.761","0.855776",""
"2017-01-08 07","29285.919","0.816459",""
"2017-01-08 08","28155.918","0.762258",""
"2017-01-08 09","31335.385","0.873595",""
"2017-01-08 10","38210.226","1.273176",""
"2017-01-08 11","45351.129","1.550718",""
"2017-01-08 12","49922.75","1.707038",""
"2017-01-08 13","52960.337","1.810905",""
"2017-01-08 14","56040.091","1.916212",""
"2017-01-08 15","57959.787","1.981853",""
"2017-01-08 16","57742.204","1.974414",""
"2017-01-08 17","56302.533","1.925187",""
"2017-01-08 18","55659.15","1.903187",""
"2017-01-08 19","55023.316","1.925802",""
"2017-01-08 20","54351.666","1.902294",""
"2017-01-08 21","53744.134","1.88103",""
"2017-01-08 22","57035.525","1.996228",""
"2017-01-08 23","54808.241","1.918274",""
"2017-01-08 24","49996.442","1.749863",""
"2017-01-09 01","42826.107","1.467256",""
"2017-01-09 02","36613.448","1.254405",""
"2017-01-09 03","32870.883","1.126183",""
"2017-01-09 04","30763.562","0.915519",""
"2017-01-09 05","29873.017","0.854901",""
"2017-01-09 06","30024.647","0.915716",""
"2017-01-09 07","32823.922","1.124573",""
"2017-01-09 08","34611.272","1.185809",""
"2017-01-09 09","39093.496","1.436544",""
"2017-01-09 10","45201.36","1.660986",""
"2017-01-09 11","50033.946","1.838566",""
"2017-01-09 12","53192.088","1.954617",""
"2017-01-09 13","54447.891","2.000762",""
"2017-01-09 14","56861.638","2.089459",""
"2017-01-09 15","57798.799","2.123896",""
"2017-01-09 16","58254.579","2.140645",""
"2017-01-09 17","58775.494","2.159786",""
